1,129342,127342,129842,127987,135952
2,224168,203908,223810,238001,212475
3,332352,324437,333671,340190,321837
4,424564,435922,420367,414553,435042
5,532808,525341,533971,494966,501950
6,657841,586682,601945,632720,593130
